City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
202,Khatanga,71.9667,102.5,6.3,96,99,4.43,RU,2022-11-07 23:51:45
203,Aktas,49.7789,72.9608,26.35,69,100,3.96,KZ,2022-11-07 23:51:45
204,Kurtalan,37.9272,41.7028,58.82,38,100,2.66,TR,2022-11-07 23:51:46
205,Codrington,-38.2667,141.9667,72.14,68,3,9.91,AU,2022-11-07 23:51:46
206,Masumbwe,-3.6333,32.1833,67.06,85,93,1.39,TZ,2022-11-07 23:51:46
207,Saint-Francois,46.4154,3.9054,42.24,93,0,2.3,FR,2022-11-07 23:51:47
208,Anamur,36.0751,32.8369,62.8,79,96,5.28,TR,2022-11-07 23:48:57
209,Victoria,22.2855,114.1577,72.25,90,98,13.0,HK,2022-11-07 23:51:47
210,Ostrovnoy,68.0531,39.5131,30.42,94,96,4.36,RU,2022-11-07 23:51:48
211,Mehamn,71.0357,27.8492,33.71,93,75,8.05,NO,2022-11-07 23:51:48
212,Charleston,32.7766,-79.9309,76.01,77,100,3.0,US,2022-11-07 23:46:59
213,Kazachka,53.3644,38.0694,36.28,84,100,8.97,RU,2022-11-07 23:51:48
214,Springbok,-29.6643,17.8865,59.74,59,12,0.78,ZA,2022-11-07 23:51:49
215,Rio Gallegos,-51.6226,-69.2181,71.65,30,75,19.57,AR,2022-11-07 23:51:49
216,Rock Springs,41.5875,-109.2029,52.05,49,0,16.11,US,2022-11-07 23:46:55
217,Kwekwe,-18.9281,29.8149,67.95,82,100,2.26,ZW,2022-11-07 23:51:50
218,Sinnamary,5.3833,-52.95,77.7,89,93,5.14,GF,2022-11-07 23:51:50
219,Mendi,-6.1761,143.6513,64.4,76,100,3.31,PG,2022-11-07 23:51:50
220,San Patricio,28.017,-97.5169,81.54,77,4,11.05,US,2022-11-07 23:51:51
221,Porecatu,-22.7558,-51.3792,67.39,54,30,4.43,BR,2022-11-07 23:51:51
222,Kahului,20.8947,-156.47,89.62,60,40,26.46,US,2022-11-07 23:48:20
223,Lebu,-37.6167,-73.65,54.81,81,54,9.93,CL,2022-11-07 23:51:52
224,Saint-Philippe,-21.3585,55.7679,71.19,79,62,8.52,RE,2022-11-07 23:51:52
225,Padang,-0.9492,100.3543,75.25,85,100,2.55,ID,2022-11-07 23:51:53
