City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
246,Khawhai,23.3667,93.1167,72.57,clear sky,37,4,1.68,IN
247,Bethel,41.3712,-73.414,48.51,clear sky,87,0,0.0,US
248,Siguiri,11.6667,-9.5,68.31,clear sky,27,1,1.81,GN
249,Arraial Do Cabo,-22.9661,-42.0278,69.8,light rain,90,100,16.91,BR
250,Grindavik,63.8424,-22.4338,41.47,broken clouds,87,75,12.66,IS
251,Cabo San Lucas,22.8909,-109.9124,75.61,broken clouds,68,55,5.01,MX
252,Acapulco,16.8634,-99.8901,78.12,scattered clouds,85,29,2.93,MX
253,Kavaratti,10.5669,72.642,83.08,broken clouds,68,58,11.77,IN
254,Pampierstad,-27.7832,24.6877,70.11,clear sky,24,7,4.59,ZA
255,Coos Bay,43.3665,-124.2179,40.93,clear sky,99,0,6.91,US
256,Lockhart,28.6194,-81.4426,74.98,moderate rain,98,100,17.27,US
257,Sao Filipe,14.8961,-24.4956,77.67,overcast clouds,67,100,9.35,CV
258,Jeremie,18.65,-74.1167,77.11,clear sky,82,5,3.44,HT
259,Hokitika,-42.7167,170.9667,64.85,clear sky,65,0,10.0,NZ
260,Salinas,36.6777,-121.6555,49.01,scattered clouds,80,40,3.44,US
261,Biltine,14.5333,20.9167,71.53,scattered clouds,24,37,8.16,TD
262,Nabire,-3.3667,135.4833,86.85,overcast clouds,67,98,5.5,ID
263,Ust-Tsilma,65.441,52.1498,30.9,overcast clouds,96,100,5.37,RU
264,Yar-Sale,66.8333,70.8333,-1.03,few clouds,91,17,6.78,RU
265,Pochutla,15.7432,-96.4661,75.81,clear sky,90,0,4.14,MX
266,Cimislia,46.52,28.7842,44.74,scattered clouds,91,29,7.43,MD
267,Shimoda,34.6667,138.95,71.96,scattered clouds,62,40,14.67,JP
268,Saint-Philippe,-21.3585,55.7679,78.39,scattered clouds,65,44,8.63,RE
269,Mareeba,-17.0,145.4333,83.44,overcast clouds,59,91,8.93,AU
270,Ipixuna,-1.7625,-48.8043,71.8,overcast clouds,93,97,3.87,BR
271,Puerto Del Rosario,28.5004,-13.8627,71.35,scattered clouds,78,40,14.97,ES
272,Saint-Francois,46.4154,3.9054,47.68,overcast clouds,100,100,1.14,FR
273,Perth,-31.9333,115.8333,71.01,light rain,69,75,16.11,AU
